id;nombre_empresa;fecha_inicio;fecha_fin;direccion;ciudad;departamento;pais;telefono_empresa;dependencia;ciudad_extranjera;usuario_id;cargo_id
1;Wooden;2020-05-17;2020-05-17;connecting Tennessee;84444;14211;matrix;clear-thinking;Sleek coherent feed;JBOD parsing Handcrafted Concrete Mouse;1;1
2;Metrics pricing structure;2020-05-16;2020-05-17;deploy turquoise;72752;92669;Ergonomic Rubber Bacon Manors;Investment Account Chair North Dakota;Bedfordshire Granite lime;Money Market Account Checking Account bandwidth;2;2
3;magnetic Rubber;2020-05-17;2020-05-16;deposit Jordanian Dinar PCI;36105;9319;focus group;Investment Account implement;auxiliary Underpass;firmware payment;3;3
4;Beauty Nebraska;2020-05-17;2020-05-17;input compelling next generation;52960;56367;Checking Account;Gorgeous Administrator mission-critical;Idaho;Home Loan Account;4;4
5;Garden Unbranded plum;2020-05-16;2020-05-17;invoice;5026;22638;Refined;Paradigm;Auto Loan Account Ridges Maine;panel Corporate program;5;5
6;Won;2020-05-17;2020-05-17;haptic;19280;81095;Avon monitor;Licensed Concrete Soap connecting;Tuna;clear-thinking District Cambridgeshire;6;6
7;Bulgarian Lev index;2020-05-17;2020-05-17;port local solution;31651;35773;RAM;emulation;Refined Metal Table target;Bedfordshire sensor Infrastructure;7;7
8;didactic Representative;2020-05-17;2020-05-16;Specialist;17217;13958;transmit;Cordoba Oro white Arizona;deposit;sky blue programming;8;8
9;parsing Savings Account structure;2020-05-17;2020-05-17;Sausages Virtual Reactive;89161;62156;leverage;clicks-and-mortar;Avon Tools;red;9;9
10;harness Architect;2020-05-17;2020-05-17;Wyoming National;21886;24414;invoice;Mouse;green;quantifying archive override;10;10
